query,expected_answer
What is internal rate of return (IRR)?,"The discount rate that makes the NPV of an investment's cash flows equal to zero. Often used to compare projects: higher IRR means more attractive, all else equal."
Write a Python one-liner that returns the sum of digits of an integer n.,sum_digits = lambda n: sum(int(c) for c in str(abs(n)))
What is an 'explanation of benefits' (EOB)?,"A statement from the insurer detailing how a medical claim was processed: charges, allowed amounts, plan payment, patient responsibility, and any denial reasons. It is not a bill."
Write a JavaScript snippet that fetches JSON from a URL.,const res = await fetch('https://api.example.com/data');\nif (!res.ok) throw new Error('HTTP ' + res.status);\nconst data = await res.json();
What is 'grace period' in insurance?,A short period (often 30 days) after a missed premium payment during which the policy remains in force and the policyholder can pay without losing coverage.
What is 'replacement cost' coverage?,"Property coverage that pays the cost to replace damaged items with new ones of like kind and quality, without deduction for depreciation."
What is the difference between a process and a thread?,A process has its own memory space and resources; threads run inside a process and share its memory. Threads are lighter to create and switch but require synchronization to avoid race conditions.
What is a 'no-claims bonus'?,A discount on premium granted to policyholders who go a defined period (typically a year) without filing a claim. Common in motor insurance.
What is volatility?,"A statistical measure of the dispersion of returns of an asset, often expressed as the annualized standard deviation. Higher volatility means larger price swings and typically more risk."
Does homeowners insurance cover mold?,"Usually only when caused by a sudden, covered peril (e.g., burst pipe). Mold from long-term leaks, humidity, or maintenance neglect is typically excluded or sub-limited."
What is 'pro rata' cancellation?,"Cancellation of a policy where the insurer refunds the unearned portion of the premium proportionally to the unused policy period, without penalty."
How many bones are in the adult human body?,206
What is 'material misrepresentation' on an insurance application?,A false statement or omission about a fact that would influence the insurer's decision to issue the policy or set the premium. It can lead to claim denial or policy rescission.
Write a SQL query to find duplicate emails in a `users` table.,"SELECT email, COUNT(*) AS n\nFROM users\nGROUP BY email\nHAVING COUNT(*) > 1;"
What is working capital?,Current assets minus current liabilities. It measures a company's short-term liquidity—its ability to cover obligations due within a year.
What is the difference between BFS and DFS?,"Breadth-First Search explores nodes level by level using a queue and finds shortest paths in unweighted graphs. Depth-First Search dives down each branch using a stack or recursion and is useful for topological sort, cycle detection, and exhaustive exploration."
What is goodwill in accounting?,An intangible asset created when one company acquires another for more than the fair value of its identifiable net assets. Tested for impairment annually.
How do you create a virtual environment in Python 3?,"Run `python3 -m venv .venv`, then activate it with `source .venv/bin/activate` on Linux/macOS or `.venv\Scripts\activate` on Windows."
What is a copay?,"A fixed amount the insured pays for a covered service (e.g., €20 per doctor's visit), with the insurer paying the rest up to policy limits."
"Compute the future value of $1,000 invested at 6% annually for 10 years.","FV = 1000 * (1.06)^10 ≈ $1,790.85."
Write a Python snippet that uses a set to find common elements between two lists.,common = set(list_a) & set(list_b)
What is 'pre-authorization' in health insurance?,"A requirement to get insurer approval before receiving certain treatments, procedures, or prescriptions. Without it, the insurer may deny or reduce payment."
Write a Python function that returns the n-th Fibonacci number using iteration.,"def fib(n):\n    a, b = 0, 1\n    for _ in range(n):\n        a, b = b, a + b\n    return a"
What does HTTP status code 403 mean?,"Forbidden: the server understands the request and the client may be authenticated, but the client is not allowed to access the resource."
What is the difference between a stock and a bond?,A stock represents partial ownership in a company and pays variable returns through dividends and price changes. A bond is a debt instrument with predefined interest payments and principal repayment at maturity.
What is a 'policy limit'?,"The maximum amount an insurer will pay for a covered loss under the policy, either per occurrence, per claim, or aggregate over the policy period."
What is a P/E ratio?,Price-to-Earnings ratio: a stock's price per share divided by its earnings per share. It measures how much investors pay for each unit of earnings. High P/E may indicate growth expectations or overvaluation.
What is 'reserves' in claims management?,Funds set aside by the insurer for the estimated future payment of an open claim. Reserves are updated as more information becomes available.
How do you make an HTTP GET request in Python with the requests library?,"import requests\nr = requests.get('https://api.example.com/items', timeout=10)\nr.raise_for_status()\ndata = r.json()"
What is a derivative?,"A financial contract whose value is derived from an underlying asset, index, or rate. Examples include futures, options, forwards, and swaps."
What is the difference between mutable and immutable types in Python?,"Mutable objects (list, dict, set) can be modified in place. Immutable ones (int, float, str, tuple, frozenset) cannot; any 'modification' returns a new object. Immutability allows hashing and safer sharing."
What is the area of a circle with radius 5?,Area = πr² ≈ 78.54 square units.
Write a Python function that checks whether a number is prime.,def is_prime(n):\n    if n < 2:\n        return False\n    if n % 2 == 0:\n        return n == 2\n    i = 3\n    while i * i <= n:\n        if n % i == 0:\n            return False\n        i += 2\n    return True
What is a 'reservation of rights' letter?,A letter from an insurer indicating it is investigating or defending a claim while reserving the right to deny coverage later if facts show the loss is not covered.
What is compound interest?,Interest calculated on the initial principal and on the accumulated interest from previous periods. Over time it makes balances grow exponentially. The formula is A = P(1 + r/n)^(n*t).
What is an ETF?,"An Exchange-Traded Fund: a basket of securities (stocks, bonds, commodities) traded on an exchange like a stock. ETFs offer diversification, intraday liquidity, and typically lower fees than mutual funds."
Write a Python function that returns the most common element of a list.,from collections import Counter\ndef most_common(lst):\n    return Counter(lst).most_common(1)[0][0]
What is short selling?,"Selling borrowed securities expecting their price to decline, then buying them back at a lower price to return them and pocketing the difference, minus borrowing fees."
What is an atom?,"The smallest unit of a chemical element that retains its chemical properties, composed of a nucleus (protons and neutrons) surrounded by electrons."
What is photosynthesis' main byproduct released into the atmosphere?,Oxygen (O₂).
"If my luggage is lost, what does travel insurance pay?","Up to the policy's baggage limit, after the deductible, for the depreciated value of the contents and reasonable replacement of essentials during delay. Sub-limits often apply to high-value items."
What is 'errors and omissions (E&O)' insurance?,"Professional liability coverage protecting service providers (consultants, architects, agents) against claims of inadequate work or negligent acts that cause client losses."
What is comprehensive auto coverage?,"Auto coverage that pays for damage to your vehicle from non-collision events: theft, vandalism, fire, hail, falling objects, and animal collisions. Subject to the policy deductible."
What is DNA?,Deoxyribonucleic acid: a double-helix molecule that stores the genetic instructions used in the development and functioning of all known living organisms.
What is 'cancel for any reason' (CFAR)?,"A travel insurance upgrade allowing cancellation for any reason, with a partial refund (often 50-75%) of non-refundable costs. Strict timing and eligibility rules apply."
What is osmosis?,The movement of water molecules across a semi-permeable membrane from a region of lower solute concentration to a region of higher solute concentration.
Define 'actuary'.,"A professional who uses mathematics, statistics, and financial theory to assess the financial impact of risk and uncertainty, especially for insurance pricing and reserving."
What does the `enumerate` function return in Python?,"It returns an iterator of (index, value) tuples for an iterable, with the index starting at 0 by default (or at the value passed via the `start` argument)."
What is a contestable period in life insurance?,A period (commonly the first two years of the policy) during which the insurer can investigate and deny claims based on misrepresentations made on the application.
"Compute simple interest on €2,500 at 3.5% for 4 years.",Simple interest = 2500 * 0.035 * 4 = €350.
What is a 'claims-made' policy?,"A liability policy that covers claims made and reported during the policy period, regardless of when the underlying incident occurred (provided it occurred after the retroactive date)."
What is the Sharpe ratio?,A measure of risk-adjusted return: (portfolio return − risk-free rate) divided by portfolio volatility. Higher Sharpe means better return per unit of risk.
Who developed the theory of general relativity?,"Albert Einstein, published in 1915."
Define 'group insurance'.,"Insurance offered to a defined group (employees, association members) under a single master contract. Underwriting and pricing apply to the group as a whole, often resulting in lower individual premiums."
Write a regex that matches a basic email address.,"^[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}$"
Who was the first person to walk on the Moon?,"Neil Armstrong, on July 20, 1969, during the Apollo 11 mission."
What is 'combined ratio'?,The sum of an insurer's loss ratio and expense ratio. Below 100% indicates underwriting profit; above 100% means the insurer paid out more in claims and expenses than it collected in premiums.
What is 'directors and officers (D&O)' insurance?,Coverage protecting company directors and officers (and sometimes the entity itself) against personal losses from claims tied to alleged wrongful acts in their managerial capacity.
How do you add type hints to a Python function?,"def greet(name: str, times: int = 1) -> str:\n    return ('Hello ' + name + ' ') * times"
Write a Bash command to find all `.log` files modified in the last 7 days under /var/log.,find /var/log -type f -name '*.log' -mtime -7
What does HTTP status code 401 mean?,Unauthorized: the request lacks valid authentication credentials. The client must authenticate (or re-authenticate) before retrying.
What is the rule of 72?,"A shortcut to estimate how long an investment takes to double: divide 72 by the annual return rate (in %). At 8%, money doubles in roughly 72/8 = 9 years."
Write a Bash one-liner to count lines in a file.,wc -l < file.txt
What is the boiling point of water at sea level in Celsius?,100°C
What is the difference between `is` and `==` in Python?,"`==` compares values for equality; `is` checks whether two references point to the same object in memory. Use `is` only for sentinels like None, True, False."
What is a deductible in an insurance policy?,"The amount the policyholder must pay out of pocket before the insurer starts to pay on a covered claim. Higher deductibles typically mean lower premiums, and vice versa."
What is 'tail coverage'?,An extension of a claims-made policy that covers claims reported after the policy ends but for events that occurred while it was active. Useful when switching insurers or retiring.
What is the role of an insurance agent?,A representative who sells policies on behalf of one or more insurers. Captive agents represent a single insurer; independent agents place business with several.
How quickly should I notify my insurer after a loss?,"As soon as reasonably possible—policies typically require 'prompt' notice. Delays can complicate the investigation, jeopardize coverage, or be cited as a breach of policy conditions."
What is a Python decorator?,"A decorator is a callable that takes a function and returns a new function, typically to add behavior (logging, caching, auth checks) without modifying the original. Applied with the @decorator syntax above the function definition."
What does the SQL HAVING clause do?,"It filters groups produced by GROUP BY, similar to how WHERE filters rows. HAVING runs after aggregation and can reference aggregate functions like COUNT or SUM."
